"","Imports","Exports","Feed","Seed","Losses","Industrial","Food","Stock","Production"
"peas",1.71784795907347,1.31417542103216,11.4081453085297,3.11704044056084,5.03583274712476,0,1.00292511337646,-20.1476823287895,0.0125887427609658
"pulses..other",3.56730438287356,0.70394294077431,2.03028999201452,1.10469523780276,2.6051665464265,0,42.9930970738086,-29.4031811731606,16.4667062347926
"cassava.and.products",0.625456088449852,0.0449168197297492,6.82243551995138,0,2.46568826452415,8.86140033721501,3.28496102225611,-20.8539458752265,0
"potatoes.and.products",0.635700600614031,9.92793209050793,11.4591192666244,9.14229679501069,5.87921171637545,0,63.1160781843522,17.3872776176964,116.276215069953
"roots..other",0.00613206744131663,0.00872406782210407,5.1195400095834,0,9.92266902656651,0,6.51971026040508,-16.7896916045907,4.77481969234508
"sweet.potatoes.and.products",0.0671092262636771,0.328543331664036,4.94429678445022,0,6.2459633018858,0,8.28734605192174,-7.42198158673552,12.3170586569226
"cloves",0.0423365468903421,0.00451197940979916,0,0,0.527176614993308,0,5.5191387879264,-6.00849083543916,0
"cocoa.beans.and.products",3.70883122046935,3.07016963859666,0,0,1.1085091395188,0,12.159178789101,-12.6290263467471,0
"coffee.and.products",0.264260986194203,0.406013902913113,0,0,4.65368179717169,0,0.380819451514578,-5.17625416540518,0
"pepper",0.963846966991745,0.0315453348257999,0,0,2.17676817958207,0,1.46207507181762,-2.70654161923374,0
"pimento",0.103696336227982,0.0389347611776321,0,0,1.91362731921251,0,15.0749523255149,-8.63786251716854,8.28595555250847
"spices..other",2.95223733118752,3.31966582085417,0,0,1.37597265398981,0,3.22866920728977,-1.47346376850346,3.49860658244277
"tea.(including.mate)",0.0453733283383517,0.00362931914859704,0,0,0.658959132818483,0,4.4657737337117,-5.08298885734043,0
"honey",0.000398877120290746,0.135527033677372,0,0,2.26302681658307,0,5.29535456442146,-7.05431932511932,0.639190212442297
"sugar.(molasses)",0.23929776275195,36.7987860314125,22.1306225974774,0,4.14086835665378,4.3314379684163,4.82464508916287,5.75734920053452,77.7444114809054
"sugar.(raw.eq.)",122.780561109659,28.845343214675,3.01435489672749,0,12.6038540272866,17.7478463181974,664.818249640776,-258.282049173509,345.967037814494
"coconut.oil",1.01025704501599,0.11134735115154,0,0,4.55616368960513,3.66136750105563,0.492535118517961,-7.81115661531428,0
"cottonseed.oil",0,0.128202293033843,0,0,6.44568427767476,3.56910914910731,6.06314946658084,-7.65319854354711,8.55294664284965
"groundnut.oil",0.0111135757770018,0.0280593236622141,0,0,3.35102704569531,6.47858183576939,8.84849365968031,-13.1967254471983,5.49832284183192
"maize.oil",15.1113811839489,2.4063542025638,0,0,3.93241041037412,4.7567610282033,11.7116972741938,-7.69584173138613,0
"oilcrops.oil..other",4.88607381941781,0.274265487051564,0,0,2.58144787759605,10.2781183144951,0.470091146734703,-8.71784900645963,0
"olive.oil",0.60092538954125,0.703944931459725,0,0,1.8126583951382,3.82479596949784,5.02119189504942,-8.07359685670833,2.6880689448956
"palm.kernel.oil",2.4910160346864,0.166071507577712,0,0,2.71733408187207,1.56619994484505,3.92351536789587,-5.88210486750431,0
"palm.oil",100.005247519654,5.78389778066649,0,0,3.4572429669335,4.07353773096762,307.749706155477,-221.059137114391,0
"rape.and.mustard.oil",0.117957568494414,0.288176615263392,0,0,5.5027149694712,3.44164527063616,12.0718216967359,-21.1864009836122,0
"soybean.oil",16.8546609952139,16.4203271666078,0,0,3.6417077874303,5.95875873535204,181.240869120899,-97.3937070740852,93.01329474099
"sunflower.and.safflower.oil",206.223703876557,20.3874528767978,0,0,2.27301056832937,11.1181143270251,225.641182224484,-43.1768900527407,10.0191660673382
"melons",0.0112156620914059,0.2863157293139,0,0,1.02423465914969,0,29.0977430982751,2.55277702301486,32.9498548476621
"olives..including.preserved",0.0157539644938691,1.43369645437955,0,4.72175132598284,12.3096709662295,0,14.4015740889869,-31.7298070328428,1.12113183824206
"onions",0.0136723075897559,6.53244389769633,0,0.486793174287282,7.25806681874299,0,30.8870548268494,-14.9075643923598,30.2431220176265
"tomatoes.and.products",0.141012848060762,0.381327115524346,0,0,9.10056121908706,0,54.5721309466769,-7.28934371952692,56.6236627137006
"vegetables.and.products..other",2.30019225361406,9.51634679828028,12.2952961503955,0,3.83465280898122,0,112.932627914797,-46.5857060025483,89.6930254162916
