AreaCode,Area,Category,Year,Production,Imports.primary,Imports.standardized,Imports.total,Exports.primary,Exports.standardized,Exports.total,Domestic.supply,Imports.sd,Exports.sd,Feed,Seed,Loss,Bio,dStock,Food
1,Armenia,Pulses,2007,14.81116515,0.010187087,14.36645733,14.37664442,0,0.885127416,0.885127416,28.30268216,0.618286814,0.01801143,0,0.656812923,0.406605949,0,0,0
1,Armenia,Pulses,2008,17.77723708,0,12.87161506,12.87161506,0,0.000291005,0.000291005,30.64856113,0.538850382,1.38E-05,0,0.738004978,0.490509771,0,0,0
1,Armenia,Pulses,2009,16.69613615,0,11.57316859,11.57316859,0.001042219,0.00015663,0.001198849,28.26810589,0.488506147,0,0,0.699198071,0.45835743,0,0,0
1,Armenia,Pulses,2010,12.91952587,0.002152966,18.165943,18.16809596,0.001331878,0.000156418,0.001488296,31.08613354,0.719061007,1.49E-05,0,0.637427761,0.357366516,0,0,0
1,Armenia,Pulses,2011,15.06119525,0.010040155,15.45065985,15.46070001,0.002858366,0.002134271,0.004992637,30.51690262,0.781601235,6.55E-05,0,0.660221093,0.418593818,0,0,0
1,Armenia,Pulses,2012,14.60109086,0.13421504,11.53328707,11.66750211,0.002368329,0.001385393,0.003753722,26.26483926,0.455696006,5.49E-05,0,0.679420066,0.40757002,0,0,0
1,Armenia,Roots and Tubers,2007,385.2541149,1.470836207,1.351132213,2.82196842,0.033086777,0.046333765,0.079420542,387.9966628,0.098445699,0.016346342,0,83.42486022,23.73165348,0,0,94
1,Armenia,Roots and Tubers,2008,429.7613706,0.096784804,0.665959271,0.762744075,0.254730299,0,0.254730299,430.2693843,0.076139316,0,0,90.90853604,26.47330043,0,0,92
1,Armenia,Roots and Tubers,2009,394.5016789,0,0.748152677,0.748152677,3.560977313,0,3.560977313,391.6888543,0.061078389,0,0,85.06945298,24.30130342,0,0,105
1,Armenia,Roots and Tubers,2010,320.8709878,0.485494164,1.14131261,1.626806774,1.593098909,0.006679245,1.599778154,320.8980164,0.080921659,0.000637096,0,75.43420228,19.76565285,0,0,89
1,Armenia,Roots and Tubers,2011,370.9220907,4.11037465,1.276085987,5.386460637,0.281764824,0.071816287,0.353581111,375.9549702,0.073475011,0.002424919,0,76.31122927,22.84880079,0,0,81
1,Armenia,Roots and Tubers,2012,430.0150874,1.03069979,1.48515284,2.51585263,0.732120817,0.149362169,0.881482986,431.6494571,0.120267096,0.032068296,0,83.03424362,26.48892939,0,0,0
1,Armenia,Stimulants and Spices,2007,0,0.491749616,9.139979904,9.63172952,0.047976656,0.090922616,0.138899272,9.492830247,0.189466922,0.000579914,0,0,0,0,0,37
1,Armenia,Stimulants and Spices,2008,0,0.817072414,11.615293,12.43236541,0.143166013,0.196509703,0.339675716,12.0926897,0.273170961,0.001277519,0,0,0,0,0,46
1,Armenia,Stimulants and Spices,2009,0,0.529808681,10.28682865,10.81663734,0.095874702,0.645262369,0.74113707,10.07550027,0.142129019,0.001426856,0,0,0,0,0,40
1,Armenia,Stimulants and Spices,2010,0,0.857139604,8.069586927,8.926726531,0.101247731,0.51633359,0.617581321,8.30914521,0.162722853,0.002220109,0,0,0,0,0,39
1,Armenia,Stimulants and Spices,2011,0,0.824742838,14.47501185,15.29975469,0.117826209,0.774880999,0.892707208,14.40704748,0.230632205,0.007946011,0,0,0,0,0,43
1,Armenia,Stimulants and Spices,2012,0,0.598618414,12.51257416,13.11119257,0.023787029,0.182500907,0.206287936,12.90490464,0.125312367,0.008693199,0,0,0,0,0,0
1,Armenia,Sugar,2007,17.01829111,0.000212836,365.0004986,365.0007114,0.028385306,11.01002422,11.03840953,370.980593,15.16249622,0.671707429,0,0,0.214876646,0,0,294
1,Armenia,Sugar,2008,17.80930513,0.002056519,415.9748138,415.9768703,0.002697068,0.597140304,0.599837372,433.1863381,18.54113405,0.271167655,0,0,0.239794413,0,0,307
1,Armenia,Sugar,2009,9.91928516,0.032309889,310.8519925,310.8843024,0.010811838,1.236113704,1.246925541,319.556662,15.93485167,0.495818051,0,0,0.080173851,0,0,313
1,Armenia,Sugar,2010,17.34067749,0.007926566,270.7019014,270.7098279,0.029184705,11.66288894,11.69207364,276.3584318,16.20754426,0.467334527,0,0,0.20880377,0,0,383
1,Armenia,Sugar,2011,31.16841736,0.056285213,401.705466,401.7617512,0.078603842,18.7856672,18.86427104,414.0658975,15.9420171,2.405071622,0,0,0.453593569,0,0,352
1,Armenia,Sugar,2012,32.05595722,0.121212606,364.4710961,364.5923087,0.038314979,37.67159061,37.70990559,358.9383603,15.3644277,2.346242628,0,0,0.480881083,0,0,0
1,Armenia,Vegetable Oils and Animal Fats,2007,2.185366748,241.9720053,100.5687216,342.5407268,0.228808663,0.000661695,0.229470358,344.4966232,8.933388732,1.33E-05,0,0,0,0,0,180
1,Armenia,Vegetable Oils and Animal Fats,2008,2.898937516,217.8596982,115.2614973,333.1211954,0.231160096,0.173339898,0.404499994,335.6156329,10.63175283,0,0,0,0,0,0,168
1,Armenia,Vegetable Oils and Animal Fats,2009,5.416682051,228.0378941,147.6491739,375.687068,0.025595585,0.001050901,0.026646485,381.0771035,21.26407375,0,0,0,0,0,0,171
1,Armenia,Vegetable Oils and Animal Fats,2010,8.604755454,253.1248567,127.2766441,380.4015008,0,0.003362013,0.003362013,389.0028942,18.04488442,0,0,0,0,0,0,181
1,Armenia,Vegetable Oils and Animal Fats,2011,5.790028285,248.2851845,109.1499655,357.4351499,0.842542746,0.52626158,1.368804326,361.8563739,11.8197822,0,0,0,0,0,0,184
1,Armenia,Vegetable Oils and Animal Fats,2012,22.05890088,264.5079831,105.9295005,370.4374836,0.54949317,0.334243622,0.883736792,391.6126477,11.81264401,2.67E-05,0,0,0,0,0,0
1,Armenia,Vegetables (inc. melons),2007,370.3665007,2.915150056,8.496574465,11.41172452,0.019295975,2.999791685,3.01908766,378.7591375,0.962639123,1.927659391,0,0,24.46580232,0,0,184
